"COD_MUN4.x","Departamento.x","Municipio","Pobreza.x","Hogares.x","Porcentaje.x","COD_MUN4.y","Departamento.y","Pobreza.y","Hogares.y","Porcentaje.y","COD_MUN4","Departamento","Pobreza","Hogares","Porcentaje"
619,"SAN SALVADOR","CIUDAD DELGADO",1,909,0.0486198176302198,619,"SAN SALVADOR",2,7610,0.40703719710228,619,"SAN SALVADOR",3,31718,1.69650536369121
702,"CUSCATLAN","COJUTEPEQUE",1,602,0.0321992631610477,702,"CUSCATLAN",2,3207,0.171533283982525,702,"CUSCATLAN",3,10339,0.553003624289156
805,"LA PAZ","OLOCUILTA",1,483,0.0258342925361894,805,"LA PAZ",2,2289,0.122432082019332,805,"LA PAZ",3,6594,0.352694254624499
819,"LA PAZ","SANTIAGO NONUALCO",1,599,0.0320388017167235,819,"LA PAZ",2,2403,0.12852961690365,819,"LA PAZ",3,9773,0.522729898459998
821,"LA PAZ","ZACATECOLUCA",1,621,0.0332155189751007,821,"LA PAZ",2,5857,0.313274226468864,821,"LA PAZ",3,16476,0.881254252228275
903,"CABAÑAS","ILOBASCO",1,1525,0.0815679008647802,903,"CABAÑAS",2,4917,0.262996307247295,903,"CABAÑAS",3,10516,0.562470849504281
906,"CABAÑAS","SENSUNTEPEQUE",1,1407,0.07525641738803,906,"CABAÑAS",2,3131,0.167468260726313,906,"CABAÑAS",3,7386,0.395056075926076
1010,"SAN VICENTE","SAN VICENTE",1,1421,0.0760052374615427,1010,"SAN VICENTE",2,4308,0.230422634049491,1010,"SAN VICENTE",3,11188,0.598414213032892
1108,"USULUTAN","JIQUILISCO",1,1245,0.0665914993945255,1108,"USULUTAN",2,3851,0.205979007364111,1108,"USULUTAN",3,10357,0.553966392955101
1123,"USULUTAN","USULUTAN",1,1167,0.0624195018420974,1123,"USULUTAN",2,4088,0.218655461465719,1123,"USULUTAN",3,16373,0.875745075973145
1202,"SAN MIGUEL","CIUDAD BARRIOS",1,923,0.0493686377037325,1202,"SAN MIGUEL",2,2469,0.132059768678782,1202,"SAN MIGUEL",3,3898,0.208492903325189
1217,"SAN MIGUEL","SAN MIGUEL",1,3579,0.19143050307872,1217,"SAN MIGUEL",2,11669,0.624141531272866,1217,"SAN MIGUEL",3,55033,2.94355822183046
1319,"MORAZAN","SAN FRANCISCO GOTERA",1,425,0.0227320379459224,1319,"MORAZAN",2,1317,0.0704425740583053,1319,"MORAZAN",3,5084,0.271928660981339
1404,"LA UNION","CONCHAGUA",1,621,0.0332155189751007,1404,"LA UNION",2,2888,0.154470883736056,1404,"LA UNION",3,7910,0.423083341534696
1408,"LA UNION","LA UNION",1,654,0.0349805948626664,1408,"LA UNION",2,2186,0.116922905764203,1408,"LA UNION",3,7189,0.38451910774879
