"COD_MUN4.x","Departamento.x","Municipio","Pobreza.x","Hogares.x","Porcentaje.x","COD_MUN4.y","Departamento.y","Pobreza.y","Hogares.y","Porcentaje.y","COD_MUN4","Departamento.x.x","Pobreza","Hogares.x.x","Porcentaje.x.x","Departamento.y.y","brecha","Hogares.y.y","Porcentaje.y.y","Departamento","severidad","Hogares","Porcentaje"
603,"SAN SALVADOR","AYUTUXTEPEQUE",1,237,0.0126764541016085,603,"SAN SALVADOR",2,1650,0.0882537943782868,603,"SAN SALVADOR",3,9502,0.508234881322716,"SAN SALVADOR",0.280448134566443,1887,0.100930248479895,"SAN SALVADOR",0.0786511561817975,1887,0.100930248479895
604,"SAN SALVADOR","CUSCATANCINGO",1,577,0.0308620844583464,604,"SAN SALVADOR",2,3688,0.197260602222498,604,"SAN SALVADOR",3,17875,0.95608277243144,"SAN SALVADOR",0.262067390866787,4265,0.228122686680844,"SAN SALVADOR",0.0686793173557252,4265,0.228122686680844
607,"SAN SALVADOR","ILOPANGO",1,1445,0.077288929016136,607,"SAN SALVADOR",2,5719,0.305893000029953,607,"SAN SALVADOR",3,27881,1.49127517640061,"SAN SALVADOR",0.287843577735247,7164,0.383181929046089,"SAN SALVADOR",0.0828539252434272,7164,0.383181929046089
608,"SAN SALVADOR","MEJICANOS",1,1013,0.0541824810334573,608,"SAN SALVADOR",2,6655,0.35595697065909,608,"SAN SALVADOR",3,40646,2.17403862199991,"SAN SALVADOR",0.254571595714994,7668,0.410139451692547,"SAN SALVADOR",0.0648066973448782,7668,0.410139451692547
609,"SAN SALVADOR","NEJAPA",1,577,0.0308620844583464,609,"SAN SALVADOR",2,1751,0.0936559963372001,609,"SAN SALVADOR",3,8063,0.431266875195228,"SAN SALVADOR",0.361028767385312,3345,0.178914510421436,"SAN SALVADOR",0.130341770879758,3345,0.178914510421436
610,"SAN SALVADOR","PANCHIMALCO",1,514,0.027492394127539,610,"SAN SALVADOR",2,2902,0.155219703809569,610,"SAN SALVADOR",3,8540,0.456780244842769,"SAN SALVADOR",0.345121227136036,5245,0.280540091826736,"SAN SALVADOR",0.119108661419883,5245,0.280540091826736
612,"SAN SALVADOR","SAN MARCOS",1,620,0.0331620318269926,612,"SAN SALVADOR",2,3285,0.175705281534953,612,"SAN SALVADOR",3,16551,0.885265788336378,"SAN SALVADOR",0.276430930606908,3905,0.208867313361945,"SAN SALVADOR",0.0764140593962011,3905,0.208867313361945
613,"SAN SALVADOR","SAN MARTIN",1,1479,0.0791074920518098,613,"SAN SALVADOR",2,6120,0.327341346421282,613,"SAN SALVADOR",3,16730,0.89483998784772,"SAN SALVADOR",0.31635130774692,8518,0.455603527584392,"SAN SALVADOR",0.100078149913186,8518,0.455603527584392
614,"SAN SALVADOR","SAN SALVADOR",1,1094,0.0585149400302095,614,"SAN SALVADOR",2,12456,0.666235916833903,614,"SAN SALVADOR",3,92412,4.94285433096136,"SAN SALVADOR",0.243590509441611,13550,0.724750856864113,"SAN SALVADOR",0.0593363362900237,13550,0.724750856864113
616,"SAN SALVADOR","SANTO TOMAS",1,424,0.0226785507978143,616,"SAN SALVADOR",2,1810,0.0968117380755752,616,"SAN SALVADOR",3,6459,0.345473489629912,"SAN SALVADOR",0.2874029057599,2924,0.156396421067946,"SAN SALVADOR",0.0826004302392339,2924,0.156396421067946
617,"SAN SALVADOR","SOYAPANGO",1,2225,0.119008904540417,617,"SAN SALVADOR",2,13875,0.74213417999923,617,"SAN SALVADOR",3,66820,3.57401123658007,"SAN SALVADOR",0.278310585695641,16100,0.861143084539647,"SAN SALVADOR",0.0774567821102509,16100,0.861143084539647
618,"SAN SALVADOR","TONACATEPEQUE",1,779,0.041666488376173,618,"SAN SALVADOR",2,6544,0.350019897219096,618,"SAN SALVADOR",3,26003,1.39082631225369,"SAN SALVADOR",0.271821908458536,8026,0.42928785071523,"SAN SALVADOR",0.0738871499180408,8026,0.42928785071523
619,"SAN SALVADOR","CIUDAD DELGADO",1,909,0.0486198176302198,619,"SAN SALVADOR",2,7610,0.40703719710228,619,"SAN SALVADOR",3,31718,1.69650536369121,"SAN SALVADOR",0.288922048283947,9133,0.488498123670844,"SAN SALVADOR",0.0834759499845915,9133,0.488498123670844
702,"CUSCATLAN","COJUTEPEQUE",1,602,0.0321992631610477,702,"CUSCATLAN",2,3207,0.171533283982525,702,"CUSCATLAN",3,10339,0.553003624289156,"CUSCATLAN",0.315114709337346,4355,0.232936530010569,"CUSCATLAN",0.0992972800407598,4355,0.232936530010569
805,"LA PAZ","OLOCUILTA",1,483,0.0258342925361894,805,"LA PAZ",2,2289,0.122432082019332,805,"LA PAZ",3,6594,0.352694254624499,"LA PAZ",0.331325858243297,3714,0.198651268073307,"LA PAZ",0.109776824340657,3714,0.198651268073307
819,"LA PAZ","SANTIAGO NONUALCO",1,599,0.0320388017167235,819,"LA PAZ",2,2403,0.12852961690365,819,"LA PAZ",3,9773,0.522729898459998,"LA PAZ",0.329815476552367,5265,0.281609834788897,"LA PAZ",0.108778248573465,5265,0.281609834788897
821,"LA PAZ","ZACATECOLUCA",1,621,0.0332155189751007,821,"LA PAZ",2,5857,0.313274226468864,821,"LA PAZ",3,16476,0.881254252228275,"LA PAZ",0.349302239439368,9401,0.502832679363802,"LA PAZ",0.122012054477358,9401,0.502832679363802
903,"CABAÑAS","ILOBASCO",1,1525,0.0815679008647802,903,"CABAÑAS",2,4917,0.262996307247295,903,"CABAÑAS",3,10516,0.562470849504281,"CABAÑAS",0.406362372675662,9147,0.489246943744357,"CABAÑAS",0.165130377926593,9147,0.489246943744357
906,"CABAÑAS","SENSUNTEPEQUE",1,1407,0.07525641738803,906,"CABAÑAS",2,3131,0.167468260726313,906,"CABAÑAS",3,7386,0.395056075926076,"CABAÑAS",0.432908040344627,6464,0.345740925370452,"CABAÑAS",0.187409371395025,6464,0.345740925370452
1010,"SAN VICENTE","SAN VICENTE",1,1421,0.0760052374615427,1010,"SAN VICENTE",2,4308,0.230422634049491,1010,"SAN VICENTE",3,11188,0.598414213032892,"SAN VICENTE",0.367945505318513,7241,0.387300439450409,"SAN VICENTE",0.135383894884096,7241,0.387300439450409
1108,"USULUTAN","JIQUILISCO",1,1245,0.0665914993945255,1108,"USULUTAN",2,3851,0.205979007364111,1108,"USULUTAN",3,10357,0.553966392955101,"USULUTAN",0.372047141393254,7076,0.37847506001258,"USULUTAN",0.138419075418892,7076,0.37847506001258
1123,"USULUTAN","USULUTAN",1,1167,0.0624195018420974,1123,"USULUTAN",2,4088,0.218655461465719,1123,"USULUTAN",3,16373,0.875745075973145,"USULUTAN",0.33513171388422,7188,0.384465620600682,"USULUTAN",0.112313265650975,7188,0.384465620600682
1202,"SAN MIGUEL","CIUDAD BARRIOS",1,923,0.0493686377037325,1202,"SAN MIGUEL",2,2469,0.132059768678782,1202,"SAN MIGUEL",3,3898,0.208492903325189,"SAN MIGUEL",0.446091938162914,4659,0.249196623035417,"SAN MIGUEL",0.198998017293945,4659,0.249196623035417
1217,"SAN MIGUEL","SAN MIGUEL",1,3579,0.19143050307872,1217,"SAN MIGUEL",2,11669,0.624141531272866,1217,"SAN MIGUEL",3,55033,2.94355822183046,"SAN MIGUEL",0.380766676489438,18842,1.00780484465193,"SAN MIGUEL",0.144983261924812,18842,1.00780484465193
1319,"MORAZAN","SAN FRANCISCO GOTERA",1,425,0.0227320379459224,1319,"MORAZAN",2,1317,0.0704425740583053,1319,"MORAZAN",3,5084,0.271928660981339,"MORAZAN",0.358006246967181,2192,0.117243828652851,"MORAZAN",0.128168472867526,2192,0.117243828652851
1404,"LA UNION","CONCHAGUA",1,621,0.0332155189751007,1404,"LA UNION",2,2888,0.154470883736056,1404,"LA UNION",3,7910,0.423083341534696,"LA UNION",0.349446922530964,5119,0.273800711165121,"LA UNION",0.122113151666361,5119,0.273800711165121
1408,"LA UNION","LA UNION",1,654,0.0349805948626664,1408,"LA UNION",2,2186,0.116922905764203,1408,"LA UNION",3,7189,0.38451910774879,"LA UNION",0.358148643671488,4013,0.214643925357615,"LA UNION",0.128270450963727,4013,0.214643925357615
