COD_MUN4.x;Departamento.x;Municipio;Pobreza.x;Hogares.x;Porcentaje.x;COD_MUN4.y;Departamento.y;Pobreza.y;Hogares.y;Porcentaje.y;COD_MUN4;Departamento.x.x;Pobreza;Hogares.x.x;Porcentaje.x.x;Departamento.y.y;brecha;Hogares.y.y;Porcentaje.y.y;Departamento;severidad;Hogares;Porcentaje
604;SAN SALVADOR;CUSCATANCINGO;1;577;0.030862084;604;SAN SALVADOR;2;3588;0.191911887;604;SAN SALVADOR;3;17975;0.961431487;SAN SALVADOR;0.247408514;4165;0.222773972;SAN SALVADOR;0.061210973;4165;0.222773972
607;SAN SALVADOR;ILOPANGO;1;1164;0.06225904;607;SAN SALVADOR;2;5699;0.304823257;607;SAN SALVADOR;3;28182;1.507374808;SAN SALVADOR;0.27985246;6863;0.367082297;SAN SALVADOR;0.078317399;6863;0.367082297
608;SAN SALVADOR;MEJICANOS;1;1013;0.054182481;608;SAN SALVADOR;2;6655;0.355956971;608;SAN SALVADOR;3;40646;2.174038622;SAN SALVADOR;0.250534116;7668;0.410139452;SAN SALVADOR;0.062767343;7668;0.410139452
609;SAN SALVADOR;NEJAPA;1;577;0.030862084;609;SAN SALVADOR;2;1627;0.08702359;609;SAN SALVADOR;3;8187;0.437899282;SAN SALVADOR;0.354156381;3250;0.173833231;SAN SALVADOR;0.125426743;3250;0.173833231
610;SAN SALVADOR;PANCHIMALCO;1;486;0.025994754;610;SAN SALVADOR;2;2870;0.153508115;610;SAN SALVADOR;3;8600;0.459989474;SAN SALVADOR;0.342339542;5185;0.277330863;SAN SALVADOR;0.117196362;5185;0.277330863
612;SAN SALVADOR;SAN MARCOS;1;620;0.033162032;612;SAN SALVADOR;2;3208;0.171586771;612;SAN SALVADOR;3;16628;0.889384299;SAN SALVADOR;0.264631984;3828;0.204748803;SAN SALVADOR;0.070030087;3828;0.204748803
613;SAN SALVADOR;SAN MARTIN;1;1479;0.079107492;613;SAN SALVADOR;2;5802;0.310332433;613;SAN SALVADOR;3;17048;0.911848901;SAN SALVADOR;0.299421691;8200;0.438594614;SAN SALVADOR;0.089653349;8200;0.438594614
614;SAN SALVADOR;SAN SALVADOR;1;555;0.029685367;614;SAN SALVADOR;2;10640;0.569103256;614;SAN SALVADOR;3;94767;5.068816565;SAN SALVADOR;0.251879676;11195;0.598788623;SAN SALVADOR;0.063443371;11195;0.598788623
616;SAN SALVADOR;SANTO TOMAS;1;386;0.020646039;616;SAN SALVADOR;2;1759;0.094083894;616;SAN SALVADOR;3;6548;0.350233846;SAN SALVADOR;0.284420172;2797;0.149603553;SAN SALVADOR;0.080894834;2797;0.149603553
617;SAN SALVADOR;SOYAPANGO;1;2225;0.119008905;617;SAN SALVADOR;2;12718;0.68024955;617;SAN SALVADOR;3;67977;3.635895867;SAN SALVADOR;0.291178319;14943;0.799258454;SAN SALVADOR;0.084784813;14943;0.799258454
618;SAN SALVADOR;TONACATEPEQUE;1;779;0.041666488;618;SAN SALVADOR;2;5841;0.312418432;618;SAN SALVADOR;3;26706;1.428427777;SAN SALVADOR;0.2827169;7323;0.391686386;SAN SALVADOR;0.079928846;7323;0.391686386
619;SAN SALVADOR;CIUDAD DELGADO;1;909;0.048619818;619;SAN SALVADOR;2;7556;0.404148891;619;SAN SALVADOR;3;31772;1.69939367;SAN SALVADOR;0.276482616;9133;0.488498124;SAN SALVADOR;0.076442637;9133;0.488498124
702;CUSCATLAN;COJUTEPEQUE;1;569;0.030434187;702;CUSCATLAN;2;2888;0.154470884;702;CUSCATLAN;3;10691;0.5718311;CUSCATLAN;0.315233008;4103;0.219457769;CUSCATLAN;0.099371849;4103;0.219457769
805;LA PAZ;OLOCUILTA;1;410;0.021929731;805;LA PAZ;2;2325;0.124357619;805;LA PAZ;3;6631;0.354673279;LA PAZ;0.31686157;3678;0.196725731;LA PAZ;0.100401254;3678;0.196725731
819;LA PAZ;SANTIAGO NONUALCO;1;494;0.026422651;819;LA PAZ;2;2181;0.11665547;819;LA PAZ;3;10100;0.540220196;LA PAZ;0.33078585;4886;0.261338206;LA PAZ;0.109419279;4886;0.261338206
821;LA PAZ;ZACATECOLUCA;1;621;0.033215519;821;LA PAZ;2;5195;0.277865734;821;LA PAZ;3;17138;0.916662744;LA PAZ;0.342356398;8798;0.470579929;LA PAZ;0.117207903;8798;0.470579929
903;CABAÑAS;ILOBASCO;1;1316;0.070389087;903;CABAÑAS;2;4530;0.242296781;903;CABAÑAS;3;11112;0.59434919;CABAÑAS;0.389535199;8541;0.456833732;CABAÑAS;0.151737671;8541;0.456833732
906;CABAÑAS;SENSUNTEPEQUE;1;1225;0.065521756;906;CABAÑAS;2;2713;0.145110633;906;CABAÑAS;3;7986;0.427148365;CABAÑAS;0.419066517;5790;0.309690588;CABAÑAS;0.175616745;5790;0.309690588
1010;SAN VICENTE;SAN VICENTE;1;1347;0.072047189;1010;SAN VICENTE;2;3944;0.210953312;1010;SAN VICENTE;3;11626;0.621841584;SAN VICENTE;0.382421047;6484;0.346810668;SAN VICENTE;0.146245857;6484;0.346810668
1108;USULUTAN;JIQUILISCO;1;1200;0.064184578;1108;USULUTAN;2;3252;0.173940206;1108;USULUTAN;3;11001;0.588412116;USULUTAN;0.368999166;6501;0.34771995;USULUTAN;0.136160384;6501;0.34771995
1123;USULUTAN;USULUTAN;1;997;0.053326687;1123;USULUTAN;2;3413;0.182551636;1123;USULUTAN;3;17218;0.920941716;USULUTAN;0.345406908;5994;0.320601966;USULUTAN;0.119305932;5994;0.320601966
1202;SAN MIGUEL;CIUDAD BARRIOS;1;878;0.046961716;1202;SAN MIGUEL;2;2162;0.115639214;1202;SAN MIGUEL;3;4250;0.227320379;SAN MIGUEL;0.4197888;4463;0.238713142;SAN MIGUEL;0.176222637;4463;0.238713142
1217;SAN MIGUEL;SAN MIGUEL;1;2538;0.135750382;1217;SAN MIGUEL;2;9834;0.525992614;1217;SAN MIGUEL;3;57909;3.09738726;SAN MIGUEL;0.35867986;16543;0.884837891;SAN MIGUEL;0.128651242;16543;0.884837891
1319;MORAZAN;SAN FRANCISCO GOTERA;1;331;0.017704246;1319;MORAZAN;2;1277;0.068303088;1319;MORAZAN;3;5218;0.279095939;MORAZAN;0.345468671;1997;0.106813835;MORAZAN;0.119348603;1997;0.106813835
1404;LA UNION;CONCHAGUA;1;503;0.026904035;1404;LA UNION;2;2414;0.129117976;1404;LA UNION;3;8502;0.454747733;LA UNION;0.336980065;4499;0.240638679;LA UNION;0.113555565;4499;0.240638679
1408;LA UNION;LA UNION;1;523;0.027973778;1408;LA UNION;2;1905;0.101893017;1408;LA UNION;3;7601;0.406555813;LA UNION;0.340656492;3511;0.187793377;LA UNION;0.116046846;3511;0.187793377
